ingredient_symnonym_id,word,code,ingredient_id
120,도토리분말,A0400101200813,342
121,목천료,A0400101300000,343
122,목천료,A0400101304000,344
123,목천료,A0400101308000,345
124,흑지마,A0400200100000,353
125,흑지마,Y00000000000A5,354
126,흑지마,Y00000000000A6,355
127,흑지마,A0400200104000,356
128,흑지마,A0400200108000,357
129,들깨분말,A0400200500813,372
130,카놀라씨,A0400200900000,382
131,카놀라씨,A0400200904000,383
132,카놀라씨,A0400200908000,384
133,코코아,A0400300200000,398
134,코코아,A0400300204000,399
135,코코아,A0400300208000,400
136,곶감,A0500100404000,583
137,그레이프푸룻,A0500200300000,636
138,그레이프푸룻,Y000000000016B,637
139,그레이프푸룻,Y000000000016C,638
140,그레이프푸룻,Y000000000016D,639
141,그레이프푸룻,Y000000000016E,640
142,그레이프푸룻,Y000000000016F,641
143,그레이프푸룻,Y0000000000170,642
144,금감,A0500200700000,657
145,금강,A0500200700000,657
146,금감,A0500200704000,658
147,금강,A0500200704000,658
148,금감,A0500200708000,659
149,금강,A0500200708000,659
150,지실,A0500200800000,660
151,광귤,A0500200800000,660
152,노실,A0500200800000,660
153,지실,A0500200804000,661
154,광귤,A0500200804000,661
155,노실,A0500200804000,661
156,지실,A0500200808000,662
157,광귤,A0500200808000,662
158,노실,A0500200808000,662
159,대조,A0500300200000,819
160,대조,Y00000000001FD,820
161,대조,Y00000000001FE,821
162,대조,Y00000000001FF,822
163,대조,Y0000000000200,823
164,대조,Y0000000000201,824
165,대조,Y0000000000202,825
166,대조,Y0000000000203,826
167,대조,Y0000000000204,827
168,대조,Y0000000000205,828
169,대조,Y0000000000206,829
170,대조,Y0000000000207,830
171,대조,A0500300208000,832
172,오매,A0500300500000,866
173,오매,Y0000000000223,867
174,오매,Y0000000000224,868
175,오매,A0500300504000,869
176,오매,A0500300508000,870
177,덩굴월귤,A0500400900000,985
178,덩굴월귤,A0500400904000,986
179,덩굴월귤,A0500400908000,987
180,라즈베리,A0500401000000,988
181,라즈베리,A0500401004000,989
182,라즈베리,A0500401008000,990
183,참다래,A0500500300000,1036
184,참다래,Y0000000000276,1037
185,참다래,Y0000000000277,1038
186,참다래,Y0000000000278,1039
187,참다래,Y0000000000279,1040
188,참다래,Y000000000027A,1041
189,참다래,Y000000000027B,1042
190,참다래,A0500500304000,1043
191,참다래,A0500500308000,1044
192,구와바,A0500500800000,1057
193,패션푸룻,A0500501100000,1066
194,듀리안,A0500501200000,1069
195,망고스턴,A0500501300000,1072
196,페이조아,A0500501800000,1087
197,페이조아,A0500501804000,1088
198,페이조아,A0500501808000,1089
199,용과,A0500502000000,1093
200,용과,A0500502004000,1094
201,용과,A0500502008000,1095
202,구아바야나,A0500502500000,1108
203,사우얼솝,A0500502500000,1108
204,guanabana,A0500502500000,1108
205,구아바야나,A0500502504000,1109
206,사우얼솝,A0500502504000,1109
207,guanabana,A0500502504000,1109
208,구아바야나,A0500502508000,1110
209,사우얼솝,A0500502508000,1110
210,guanabana,A0500502508000,1110
211,브로코리,A0600100300000,1137
212,녹색꽃양배추,A0600100300000,1137
213,브로코리,Y0000000000288,1138
214,녹색꽃양배추,Y0000000000288,1138
215,브로코리,Y0000000000289,1139
216,녹색꽃양배추,Y0000000000289,1139
217,깻잎,A0600200700000,1194
218,깻잎,Y00000000002A8,1195
219,깻잎,Y00000000002A9,1196
220,깻잎,Y00000000002AA,1197
221,깻잎,Y00000000002AB,1198
222,동규자,A0600200900000,1204
223,동규자,A0600200904000,1205
224,동규자,A0600200908000,1206
225,국거,A0600202000000,1256
226,국거,A0600202004000,1257
227,국거,A0600202008000,1258
228,파세리,A0600202200000,1262
229,신립초,A0600202400000,1268
230,명일엽,A0600202400000,1268
231,신립초,A0600202404000,1269
232,명일엽,A0600202404000,1269
233,신립초,A0600202408000,1270
234,명일엽,A0600202408000,1270
235,당귀잎,A0600203200000,1292
236,당귀잎,A0600203204000,1293
237,당귀잎,A0600203208000,1294
238,쑥분말,A0600203300813,1298
239,카밀레,A0600203500000,1302
240,카밀레,A0600203504000,1303
241,카밀레,A0600203508000,1304
242,텐차,A0600203800000,1311
243,텐차,A0600203804000,1312
244,텐차,A0600203808000,1313
245,Honey bush,A0600203900000,1314
246,Honey bush,A0600203904000,1315
247,Honey bush,A0600203908000,1316
248,Ramie,A0600204100000,1320
249,Ramie,A0600204104000,1321
250,Ramie,A0600204108000,1322
251,인진호,A0600204200000,1323
252,인진,A0600204200000,1323
253,인진호,A0600204204000,1324
254,인진,A0600204204000,1324
255,인진호,A0600204208000,1325
256,인진,A0600204208000,1325
257,취,A0600204400000,1329
258,취,A0600204404000,1330
259,취,A0600204408000,1331
260,Gotu Kola,A0600205300000,1356
261,Gotu Kola,A0600205304000,1357
